Sequence_Name,mcg,gvh,lip,chg,aac,alm1,alm2,class
ACEA_ECOLI,0.07,0.4,0.48,0.5,0.54,0.35,0.44,cp
ACKA_ECOLI,0.59,0.49,0.48,0.5,0.52,0.45,0.36,cp
ALKH_ECOLI,0.67,0.39,0.48,0.5,0.36,0.38,0.46,cp
AMY2_ECOLI,0.21,0.34,0.48,0.5,0.51,0.28,0.39,cp
APT_ECOLI,0.2,0.44,0.48,0.5,0.46,0.51,0.57,cp
ASG1_ECOLI,0.42,0.24,0.48,0.5,0.57,0.27,0.37,cp
BTUR_ECOLI,0.25,0.48,0.48,0.5,0.44,0.17,0.29,cp
CAFA_ECOLI,0.39,0.32,0.48,0.5,0.46,0.24,0.35,cp
CAIB_ECOLI,0.51,0.5,0.48,0.5,0.46,0.32,0.35,cp
CHEB_ECOLI,0.34,0.45,0.48,0.5,0.38,0.24,0.35,cp
CHEZ_ECOLI,0.41,0.57,0.48,0.5,0.39,0.21,0.32,cp
CYNR_ECOLI,0.51,0.54,0.48,0.5,0.41,0.34,0.43,cp
CYSE_ECOLI,0.25,0.4,0.48,0.5,0.47,0.33,0.42,cp
DDLA_ECOLI,0.43,0.39,0.48,0.5,0.47,0.31,0.41,cp
DLDH_ECOLI,0.56,0.51,0.48,0.5,0.34,0.37,0.46,cp
EFG_ECOLI,0.4,0.29,0.48,0.5,0.42,0.35,0.44,cp
EFTU_ECOLI,0.36,0.54,0.48,0.5,0.41,0.38,0.46,cp
FABB_ECOLI,0.65,0.47,0.48,0.5,0.59,0.3,0.4,cp
G3P2_ECOLI,0.33,0.45,0.48,0.5,0.52,0.32,0.41,cp
G6PI_ECOLI,0.3,0.37,0.48,0.5,0.59,0.41,0.49,cp
GCVA_ECOLI,0.4,0.5,0.48,0.5,0.45,0.39,0.47,cp
GLNA_ECOLI,0.28,0.38,0.48,0.5,0.5,0.33,0.42,cp
GLYA_ECOLI,0.17,0.38,0.48,0.5,0.45,0.42,0.5,cp
GSHR_ECOLI,0.44,0.35,0.48,0.5,0.55,0.55,0.61,cp
HEM6_ECOLI,0.42,0.35,0.48,0.5,0.58,0.15,0.27,cp
HEMN_ECOLI,0.23,0.33,0.48,0.5,0.43,0.33,0.43,cp
IF1_ECOLI,0.29,0.3,0.48,0.5,0.45,0.03,0.17,cp
IF2_ECOLI,0.22,0.36,0.48,0.5,0.35,0.39,0.47,cp
IPYR_ECOLI,0.47,0.47,0.48,0.5,0.22,0.16,0.26,cp
KAD_ECOLI,0.54,0.47,0.48,0.5,0.28,0.33,0.42,cp
KDSA_ECOLI,0.51,0.37,0.48,0.5,0.35,0.36,0.45,cp
LON_ECOLI,0.44,0.34,0.48,0.5,0.3,0.33,0.43,cp
LPLA_ECOLI,0.42,0.38,0.48,0.5,0.54,0.34,0.43,cp
LYSR_ECOLI,0.44,0.56,0.48,0.5,0.5,0.46,0.54,cp
MALQ_ECOLI,0.52,0.36,0.48,0.5,0.41,0.28,0.38,cp
MALZ_ECOLI,0.36,0.41,0.48,0.5,0.48,0.47,0.54,cp
METK_ECOLI,0.25,0.37,0.48,0.5,0.41,0.33,0.42,cp
MURF_ECOLI,0.35,0.48,0.48,0.5,0.56,0.4,0.48,cp
NADA_ECOLI,0.26,0.26,0.48,0.5,0.34,0.25,0.35,cp
NFRC_ECOLI,0.44,0.51,0.48,0.5,0.47,0.26,0.36,cp
NHAR_ECOLI,0.37,0.5,0.48,0.5,0.42,0.36,0.45,cp
NIRD_ECOLI,0.44,0.42,0.48,0.5,0.42,0.25,0.2,cp
OMPR_ECOLI,0.24,0.43,0.48,0.5,0.37,0.28,0.38,cp
